id	label	sentence	pos
457	0	It 's very confusing without the right signs .	PRP VBZ RB JJ IN DT JJ NNS . 
193	0	We are restricted in doing nearly everything .	PRP VBP JJ IN VBG RB NN . 
367	0	He did n't keep my secret .	PRP VBD RB VB PRP$ NN . 
467	0	At that moment I did n't like my position .	IN DT NN PRP VBD RB VB PRP$ NN . 
352	0	I received your letter yesterday .	PRP VBD PRP$ NN RB . 
140	0	I 'll write to you soon Kim .	PRP VBP VB IN PRP RB NNP . 
173	0	I had a lot of fun there .	PRP VBD DT NN IN NN RB . 
6	0	I made a big mistake by trusting him .	PRP VBD DT JJ NN IN VBG PRP . 
559	0	Your time has been stolen .	PRP$ NN VBZ VBN VBN . 
344	0	I want you to give me a full refund .	PRP VBP PRP TO VB PRP DT JJ NN . 
73	0	And always , everybody did it surprisingly well .	CC RB , NN VBD PRP RB RB . 
595	0	Respect is essential .	NN VBZ JJ . 
299	0	I appreciate all this .	PRP VBP PDT DT . 
420	0	You are asked to go through the blue door .	PRP VBP VBN TO VB IN DT JJ NN . 
145	0	Thirdly , the ad mentioned possible discounts .	RB , DT NN VBD JJ NNS . 
234	0	The second answer is that shopping makes everyone happy .	DT JJ NN VBZ IN NN VBZ NN JJ . 
220	0	We mostly had a wonderful time .	PRP RB VBD DT JJ NN . 
651	1	I said to myself again .	PRP VBD TO PRP RB . 
359	0	After all these problems I became disappointed	IN PDT DT NNS PRP VBD JJ 
132	0	However , we have to consider our human nature .	RB , PRP VBZ TO VB PRP$ JJ NN . 
422	0	First , about school .	RB , IN NN . 
768	1	or you are going to get nervous !	CC PRP VBP VBG TO VB JJ . 
477	0	It was not a perfect evening whatsoever .	PRP VBD RB DT JJ NN RB . 
41	0	She spent the money on a magazine .	PRP VBD DT NN IN DT NN . 
530	0	Say hello to your parents !	VB UH IN PRP$ NNS . 
108	0	I look forward to hearing soon .	PRP VB RB IN VBG RB . 
786	1	I can buy something from internet .	PRP MD VB NN IN NN . 
56	0	Or would our house itself be alive ?	CC MD PRP$ NN PRP VBZ JJ . 
630	1	Modern technology changed our lifes in many ways ,	JJ NN VBD PRP$ NNS IN JJ NNS , 
436	0	So it depends on the case .	RB PRP VBZ IN DT NN . 
713	1	And you can see the their clothes also .	CC PRP MD VB PDT PRP$ NNS RB . 
24	0	Just imagine the future people 's way of life	RB VB DT JJ NNS POS NN IN NN 
449	0	A lot of circumstances will arise .	DT NN IN NNS MD VB . 
396	0	Some prefer realistic stories whereas others prefer unusual ones .	DT VBP JJ NNS IN NNS VBP JJ NNS . 
780	1	It is causing some changes to me .	PRP VBZ VBG DT NNS IN PRP . 
51	0	It has absolutely reduced women 's housework time .	PRP VBZ RB VBN NNS POS NN NN . 
375	0	Do you dream of being a star ?	VBP PRP VB IN VBG DT NN . 
791	1	My job just prepear drink for them .	PRP$ NN RB VBP NN IN PRP . 
552	0	Dear Ms Helen Ryan ,	JJ NNP NNP NNP . 
264	0	I am a student in the English class .	PRP VBP DT NN IN DT JJ NN . 
590	0	It was your fault .	PRP VBD PRP$ NN . 
594	0	What clothes should we take with us ?	WDT NNS MD PRP VB IN PRP . 
741	0	It will still be filled with vegetables and meat .	PRP MD RB VB VBN IN NNS CC NN . 
323	0	Yesterday was Valentine 's day here in Portugal .	NN VBD NNP POS NNP RB IN NNP . 
18	0	Let me answer these questions .	VB PRP VB DT NNS . 
621	1	So do n't laugh about this idea .	RB VBP RB VB IN DT NN . 
448	0	I could n't be satisfied with your theatre .	PRP MD RB VB JJ IN PRP$ NN . 
83	0	I 'm a beginner at both activities .	PRP VBP DT NN IN DT NNS . 
61	0	I was just 15 years old .	PRP VBD RB CD NNS JJ . 
272	0	It is wonderful how technology makes things so easy .	PRP VBZ JJ WRB NN VBZ NNS RB JJ . 
285	0	I expected to see a variety of nationalities .	PRP VBD TO VB DT NN IN NNS . 
351	0	My job was very easy .	PRP$ NN VBD RB JJ . 
428	0	The library is very important in our daily life .	DT NN VBZ RB JJ IN PRP$ JJ NN . 
766	1	Meanwhile , these activities are develop .	RB , DT NNS VBP VB . 
182	0	You asked me for some further information .	PRP VBD PRP IN DT JJ NN . 
355	0	This tendency may result in rejecting synthetics completely .	DT NN MD VB IN VBG NNS RB . 
535	0	I am really looking forward to going camping	PRP VBP RB VBG RB TO VBG VBG 
223	0	He does n't like to stay at home alone .	PRP VBZ RB VB TO VB IN NN RB . 
822	1	But it was worthy .	CC PRP VBD JJ . 
650	1	But it was n't all .	CC PRP VBD RB DT . 
361	0	It was very sad news about Richard Brown .	PRP VBZ RB JJ NNS IN NNP NNP . 
412	0	We have planned a barbecue for 5 oo pm	PRP VBP VBD DT NN IN CD CD NN 
828	1	This let Nick very embrassed and got hurt .	DT VBD NNP RB JJ CC VBD VBN . 
529	0	I have great experience of sailing .	PRP VBP JJ NN IN NN . 
176	0	Here is the information you asked for :	RB VBZ DT NN PRP VBD IN : 
581	0	So you have wasted hours buying nothing .	CC PRP VBP VBN NNS VBG NN . 
814	1	Second thing is an airplane .	JJ NN VBZ DT NN . 
163	0	I 'm looking forward to receiving your prompt reply .	PRP VBP VBG RB IN VBG PRP$ JJ NN . 
248	0	I think it is worthwhile seeing it .	PRP VBP PRP VBZ JJ VBG PRP . 
714	1	I am not also keen on preparing it .	PRP VBP RB RB JJ IN VBG PRP . 
762	1	Was very exciting moment and very nice competition .	VBD RB JJ NN CC RB JJ NN . 
74	0	""" Sara remembered the golden fish . """	`` NNP VBD DT JJ NN . ''
113	0	You asked me about an interesting building to visit .	PRP VBD PRP IN DT JJ NN TO VB . 
578	0	I am really looking forward to this camp .	PRP VBP RB VBG RB IN DT NN . 
671	0	The hotel is called Epsom Down Hotel .	DT NN VBZ VBN NNP NNP NNP . 
104	0	But everything was terrible and different to your advertisement .	CC NN VBD JJ CC JJ IN PRP$ NN . 
114	0	Every statement was wrong .	DT NN VBD JJ . 
362	0	And of course technology is also changing .	CC RB RB NN VBZ RB VBG . 
92	0	So why did you make this invitation ?	RB WRB VBD PRP VB DT NN . 
723	1	Finally , the date of concer came .	RB , DT NN IN NN VBD . 
89	0	Her boss was a rich man , really rich .	PRP$ NN VBD DT JJ NN , RB JJ . 
336	0	I find it more sociable than a log cabin .	PRP VBP PRP RBR JJ IN DT NN NN . 
482	0	I 'll never wash my hand again .	PRP MD RB VB PRP$ NN RB . 
792	1	Be you studing a lot ?	VB PRP VBG DT NN . 
803	0	I was dragged to learn sailing .	PRP VBD VBN TO VB VBG . 
526	0	You can see the sign for the hotel .	PRP MD VB DT NN IN DT NN . 
531	0	Yours sincerely ,	PRP RB . 
94	0	It is more interesting than sleeping in log cabins .	PRP VBZ RBR JJ IN VBG IN NN NNS . 
11	0	I wish you had been there .	PRP VBP PRP VBD VBN RB . 
398	0	There are already a variety of fashion styles nowadays .	PRP VBP RB DT NN IN NN NNS RB . 
43	0	I want to know some information about it .	PRP VBP TO VB DT NN IN PRP . 
42	0	Will you give me some pocket-money during the trip ?	MD PRP VB PRP DT NN IN DT NN . 
329	0	What do you think about this suggestion ?	WP VBP PRP VBP IN DT NN . 
167	0	We can show our figure in winter as well .	PRP MD VB PRP$ NN IN NN RB RB . 
755	1	See you and write me soon .	VB PRP CC VB PRP RB . 
754	0	In conclusion , I had an unforgettable time .	IN NN , PRP VBD DT JJ NN . 
656	1	Thank you very much for this occasion	VB PRP RB RB IN DT NN 
462	0	Give a topic and then discuss it .	VB DT NN CC RB VB PRP . 
178	0	Moreover , I am keen on summer .	RB , PRP VBP JJ IN NN . 
644	0	Shopping is not always enjoyable ,	NN VBZ RB RB JJ , 
711	1	Evenmore we can enjoy our night with lights .	RB PRP MD VB PRP$ NN IN NNS . 
177	0	Hope to hear from you soon	VB TO VB IN PRP RB 
589	0	That replacement really disappointed me .	DT NN RB VBD PRP . 
687	1	I have got not idea about them .	PRP VBP VBN RB NN IN PRP . 
596	0	I must be at home by 11pm .	PRP MD VB IN NN IN NN . 
257	0	What more do you want ?	WP JJR VBP PRP VB . 
404	0	Now , you are giving me an opportunity .	RB , PRP VBP VBG PRP DT NN . 
335	0	Taking pictures is a new experience for me .	VBG NNS VBZ DT JJ NN IN PRP . 
534	0	We had a brilliant night .	PRP VBD DT JJ NN . 
15	0	I wish you had been there with us !	PRP VBP PRP VBD VBN RB IN PRP . 
3	0	Technology improves our lives ,	NN VBZ PRP$ NNS , 
760	1	Second , I prefer to stay a log cabin .	RB , PRP VBP TO VB DT NN NN . 
256	0	It is free for students .	PRP VBZ JJ IN NNS . 
743	1	There was beach our town .	EX VBD NN PRP$ NN . 
439	0	However , things are recycled from time to time .	RB , NNS VBP VBN IN NN IN NN . 
382	0	As they wanted to have a baby .	IN PRP VBD TO VB DT NN . 
222	0	We should n't allow the world to be exploited .	PRP MD RB VB DT NN TO VB VBD . 
468	0	Lastly the method of communication has also changed .	RB DT NN IN NN VBD RB VBN . 
585	0	Dear manager of the theatre ,	JJ NN IN DT NN . 
388	0	The show is on 14th March on Tuesday .	DT NN VBZ IN CD NNP IN NNP . 
324	0	So the loss was bigger than the profit .	RB DT NN VBD JJR IN DT NN . 
513	0	I am afraid that I want my money back .	PRP VBP JJ IN PRP VBP PRP$ NN RB . 
9	0	What are you going to do without a phone ?	WP VBP PRP VBG TO VB IN DT NN . 
249	0	Secondly , accommodation .	RB , NN . 
22	0	But I enjoy finding out about new activities !	CC PRP VBP VBG IN IN JJ NNS . 
356	0	We have a few possibilities .	PRP VBP DT JJ NNS . 
221	0	You should go there .	PRP MD VB RB . 
582	0	It 's a strange thing !	PRP VBZ DT JJ NN . 
742	1	She had invited me her play to the theatre .	PRP VBD VBN PRP PRP$ NN IN DT NN . 
846	1	The architecture bring you back into the old time .	DT NN VBP PRP RP IN DT JJ NN . 
545	0	The advertised starting time is 19:30	DT VBN NN NN VBZ CD 
340	0	We were hungry and angry this time .	PRP VBD JJ CC JJ DT NN . 
720	1	Hope hearing from you .	VB VBG IN PRP . 
203	0	How are you and your parents ?	RB VBP PRP CC PRP$ NNS . 
237	0	I ask you to return my money .	PRP VBP PRP IN VB PRP$ NN . 
93	0	You ca n't imagine how fun it was !	PRP MD RB VB WRB JJ PRP VBD . 
450	0	I was really disappointed with your show .	PRP VBD RB JJ IN PRP$ NN . 
570	0	I am glad to provide all the information .	PRP VBP JJ TO VB PDT DT NN .
542	0	Nobody informed me about that .	NN VBD PRP IN DT . 
284	0	So I paid for the ticket .	RB PRP VBD IN DT NN . 
184	0	People 's imaginations are enormous .	NNS POS NNS VBP JJ . 
696	1	I will never forget at that time .	PRP MD RB VB IN DT NN . 
445	0	Also there is a big problem : the money .	RB EX VBZ DT JJ NN : DT NN . 
153	0	Last Saturday evening I had a wonderful time .	JJ NNP NN PRP VBD DT JJ NN . 
75	0	It was a perfectly terrible evening out .	PRP VBD DT RB JJ NN RB . 
794	0	This is the highest building in Tokyo .	DT VBZ DT JJS NN IN NNP . 
533	0	I am so amazed about winning the competition .	PRP VBP RB JJ IN VBG DT NN . 
277	0	And I would love to learn surfing and painting .	CC PRP MD VB TO VB VBG CC VBG . 
68	0	The second activity is more of a hobby .	DT JJ NN VBZ JJR IN DT NN . 
547	0	I would like to travel	PRP MD VB TO VB 
188	0	For example , space suits .	IN NN , NN NNS . 
271	0	I have never felt such satisfaction .	PRP VBP RB VBN JJ NN . 
722	1	I could n't believe in it !	PRP MD RB VB IN PRP . 
538	0	Because fashion has repeated many times in the circle .	IN NN VBZ VBN JJ NNS IN DT NN . 
236	0	I ca n't understand this kind of mistake .	PRP MD RB VB DT NN IN NN . 
88	0	I play guard on my team .	PRP VBP NN IN PRP$ NN . 
733	1	it is the Tuesday 14 March .	PRP VBZ DT NNP CD NNP . 
117	0	The principal reason is the cheap price .	DT JJ NN VBZ DT JJ NN . 
125	0	Do you understand me ?	VBP PRP VB PRP . 
708	1	It will remind me some wonderful experiences .	PRP MD VB PRP DT JJ NNS . 
289	0	Nowadays our shopping habits seem to have changed .	RB PRP$ NN NNS VBZ TO VBZ VBN . 
238	0	Now I want to explain about the problems .	RB PRP VBP TO VB IN DT NNS . 
0	0	I use the Internet now .	PRP VBP DT NNP RB . 
853	1	Are you a science fiction histories lover ?	VBP PRP DT NN NN NNS NN . 
433	0	Painting and Photography are good activities for me .	NN CC NN VBP JJ NNS IN PRP . 
752	1	For me was this aventure one of the Best .	IN PRP VBD DT NN CD IN DT JJS . 
395	0	Pat is one of my colleagues from the office .	PRP VBZ NN IN PRP$ NNS IN DT NN . 
514	0	It will save our Earth .	PRP MD VB PRP$ NNP . 
126	0	We see on the advertisement that discounts are available .	PRP VB IN DT NN IN NNS VBZ JJ . 
278	0	It was an old woman asking who Maria was .	PRP VBD DT JJ NN VBG WP NNP VBD . 
668	1	Second , I prefer log cabins than tents .	RB , PRP VBP NN NNS IN NNS . 
116	0	I do n't really like staying in tents .	PRP VBP RB RB VB VBG IN NNS . 
228	0	Why do you give this information in an advertisement ?	WRB VBP PRP VB DT NN IN DT NN . 
603	0	I do not like the tents ;	PRP VBP RB VB DT NNS , 
662	1	Who know ?	WP VBP . 
486	0	I would choose photography and tennis .	PRP MD VB NN CC NN . 
274	0	I was enthusiastic about this special event .	PRP VBD JJ IN DT JJ NN . 
318	0	I looked at my watch : 20:45 .	PRP VBD IN PRP$ NN : CD . 
587	0	Going to the cinema with the boy I love .	VBG IN DT NN IN DT NN PRP VBP . 
144	0	I hope that you liked my experience .	PRP VBP IN PRP VBD PRP$ NN . 
854	1	But I was sure he would tell nothing .	CC PRP VBD JJ PRP MD VB NN . 
541	0	furthermore I simply love water sports and their challenges .	RB PRP RB VBP NN NNS CC PRP$ NNS . 
784	1	Finaly , I have some question .	RB , PRP VBP DT NN . 
622	1	Especially , sightseeing by bus must be enjoyable .	RB , NN IN NN MD VB JJ . 
369	0	My other choice is painting .	PRP$ JJ NN VBZ NN . 
268	0	I 'd like to do climbing and sailing .	PRP MD VB TO VB NN CC NN . 
604	1	That change really disappointed me .	DT NN RB VBD PRP . 
307	0	The International Arts Festival is a wonderful idea .	DT NNP NNPS NNP VBZ DT JJ NN . 
423	0	The building was built in 1999 .	DT NN VBD VBN IN CD . 
310	0	My life has been changed by technological advances .	PRP$ NN VBZ VBN VBN IN JJ NNS . 
506	0	I really enjoy swimming .	PRP RB VBP NN . 
46	0	In fact , I had .	IN NN , PRP VBD . 
349	0	Secondly the time on the leaflet is totally wrong .	RB DT NN IN DT NN VBZ RB JJ . 
371	0	I used to go camping .	PRP VBD TO VB VBG . 
558	0	I had always wanted to swim with sharks .	PRP VBD RB VBN TO VB IN NNS . 
261	0	Could you imagine no telephone ringing in the office ?	MD PRP VBP DT NN VBG IN DT NN . 
195	0	However , I have never tried surfing .	RB , PRP VBP RB VBN NN . 
861	1	We are look forward to hearing from you	PRP VBP VB RB IN VBG IN PRP 
721	1	Because the show started 20:15 .	IN DT NN VBD CD . 
107	0	They all did except one : Pat .	PRP DT VBD IN CD : NNP . 
59	0	You advertised my perfect evening out .	PRP VBD PRP$ JJ NN RB . 
638	1	So I am quite confident with this .	RB PRP VBP RB JJ IN DT . 
494	0	and we are practising these things .	CC PRP VBP VBG DT NNS . 
100	0	Why ca n't famous people do all these things ?	WRB MD RB JJ NNS VB PDT DT NNS . 
443	0	I count on my experience .	PRP VB IN PRP$ NN . 
588	0	I do not like tents ;	PRP VBP RB VB NNS , 
774	1	You will have a good time for shopping .	PRP MD VB DT JJ NN IN NN . 
620	1	However it did at 20:15 .	RB PRP VBD IN CD . 
579	0	It opens from 8.00 am to 5.00 pm	PRP VBZ IN CD NN IN CD NN 
179	0	Writing .	NN . 
304	0	I am rather good at it .	PRP VBP RB JJ IN PRP . 
551	0	The guards will change every four hours .	DT NNS MD VB DT CD NNS . 
57	0	I was very pleased to receive your letter .	PRP VBD RB JJ TO VB PRP$ NN . 
831	1	Yes , it was a strange behaviour .	UH , PRP VBD DT JJ NN . 
149	0	I think it is bombastic .	PRP VBP PRP VBZ JJ . 
124	0	How much money do I need for this trip ?	WRB JJ NN VBP PRP VB IN DT NN . 
680	0	And tickets were too expensive !	CC NNS VBD RB JJ . 
749	0	Could you believe my luck ?	MD PRP VB PRP$ NN . 
185	0	Pat promised to tell nobody about our purpose .	NNP VBD TO VB NN IN PRP$ NN . 
576	0	I look forward to hearing from you .	PRP VBP RB IN VBG IN PRP . 
50	0	I 'll tell you the two activities I chose .	PRP MD VB PRP DT CD NNS PRP VBD . 
341	0	I hope your questions have been answered appropriately .	PRP VBP PRP$ NNS VBP VBN VBN RB . 
446	0	Although you mentioned them in your advertisement .	IN PRP VBD PRP IN PRP$ NN . 
851	0	Will it be possible to join a surf school ?	MD PRP VB JJ TO VB DT NN NN . 
519	0	I look forward to hearing from you	PRP VBP RB TO VBG IN PRP 
321	0	You wo n't dance but the earnings are guaranteed !	PRP MD RB VB CC DT NNS VBP VBN . 
353	0	I have never liked shopping .	PRP VBP RB VBN VBG . 
798	0	I suggest that you wear a formal dress .	PRP VBP IN PRP VBP DT JJ NN . 
142	0	It was this last point that got me angry .	PRP VBD DT JJ NN WDT VBD PRP JJ . 
470	0	I look forward to an answer from you .	PRP VBP RB IN DT NN IN PRP . 
370	0	Modern technology plays an important role in our lives .	JJ NN VBZ DT JJ NN IN PRP$ NNS . 
800	0	Everyone gets a television at home .	NN VBZ DT NN IN NN . 
141	0	One of them is in the area of fashion .	CD IN PRP VBZ IN DT NN IN NN . 
399	0	I am just kidding .	PRP VBP RB VBG . 
493	0	I live and I need different products to survive .	PRP VBP CC PRP VBP JJ NNS TO VB . 
263	0	And I did n't even get paid .	IN PRP VBD RB RB VB VBN . 
320	0	asked Philip , showing the keys to the car .	VBD NNP , VBG DT NNS IN DT NN . 
19	0	I think then we should film an information-technology lesson .	PRP VBP RB PRP MD VB DT NN NN . 
172	0	Except in some very extraordinary cases , no .	IN IN DT RB JJ NNS , UH . 
841	1	How poor their imagination are !	WRB JJ PRP$ NN VBP . 
312	0	But how could I , it was closed !	CC WRB MD PRP , PRP VBD JJ . 
390	0	I 'm looking forward to hearing from you .	PRP VBP VBG RB TO VBG IN PRP . 
837	1	They should seek to other lifes outside their homes .	PRP MD VB TO JJ NNS IN PRP$ NNS . 
12	0	And then going away without listening to the answer .	CC RB VBG RB IN VBG IN DT NN . 
407	0	' Why not go to the stock exchange ? '	`` WRB RB VB IN DT NN NN . '' 
408	0	Because my favourite actor appears in it .	IN PRP$ JJ NN VBZ IN PRP . 
305	0	The microphones all had to be checked .	DT NNS RB VBD TO VB VBN . 
354	0	Generally many women like shopping , including me .	RB JJ NNS VBP NN , VBG PRP . 
25	0	It began 45 minutes later than it should have .	PRP VBD CD NNS RBR IN PRP MD VBP . 
636	1	I prefer in tents .	PRP VBP IN NNS . 
169	0	I would be glad if you considered my suggestions .	PRP MD VB JJ IN PRP VBD PRP$ NNS . 
781	0	A free shuttle-bus gets you to the conference-center .	DT JJ NN VBZ PRP IN DT NN . 
38	0	Technology is the future , and the present .	NN VBZ DT NN , CC DT JJ . 
175	0	So , maths lessons should be filmed .	RB , NN NNS MD VB VBN . 
245	0	It is a fact that shopping is not enjoyable .	PRP VBZ DT NN IN NN VBZ RB JJ . 
717	1	I mean , it is too crowdy ,	PRP VBP , PRP VBZ RB JJ , 
583	0	I attended the art exhibitions and saw interesting pictures .	PRP VBD DT NN NNS CC VBD JJ NNS . 
704	1	There were nor bridge nor a canoe ,	EX VBD CC NN CC DT NN , 
740	1	It was very interesting experience for me .	PRP VBD RB JJ NN IN PRP . 
154	0	It was too few for this festival .	PRP VBD RB JJ IN DT NN . 
287	0	You had better invite more nationalities .	PRP VBD RB VB JJR NN . 
523	0	I wish you had been there .	PRP VBP PRP VBD VBN RB . 
17	0	First the show started much later than was advertised .	RB DT NN VBD RB RBR IN VBD VBN . 
127	0	What should I say to you about home ...	WP MD PRP VBP IN PRP IN NN . 
322	0	I could not get it .	PRP MD RB VB PRP . 
255	0	I had n't ever seen so much money .	PRP VBD RB RB VBN RB JJ NN . 
692	1	When I was a child we were often camping .	WRB PRP VBD DT NN PRP VBD RB VBG . 
829	1	Can you imagine the life before computer .	MD PRP VB DT NN IN NN . 
190	0	The bus runs from in front of the hotel .	DT NN VBZ IN IN NN IN DT NN . 
115	0	It will be a surprise !	PRP MD VB DT NN . 
536	0	Modern technology has created other conveniences :	JJ NN VBZ VBN JJ NNS : 
180	0	In addition , admission for students is free .	IN NN , NN IN NNS VBZ JJ . 
301	0	How much money will I need to take ?	WRB JJ NN MD PRP VB TO VB . 
659	1	The entery will be free .	DT NN MD VB JJ . 
618	1	There will be a great success !	EX MD VB DT JJ NN . 
629	1	And swimming is very good for health .	CC NN VBZ RB JJ IN NN . 
597	0	There were some problems we have to speak about .	EX VBD DT NNS PRP VBP TO VB IN . 
695	1	I have n't hade such experience .	PRP VBP RB VBN DT NN . 
517	0	I think not .	PRP VBP RB . 
847	1	It prove our bravura to be a man .	PRP VB PRP$ NN TO VB DT NN . 
45	0	Functions ' clothes are the way to love animals !	NNS POS NNS VBP DT NNS TO VB NNS . 
820	1	One day Peter killed one boy .	CD NN NNP VBD CD NN . 
157	0	It was a shame .	PRP VBD DT NN . 
691	0	It was really great .	PRP VBD RB JJ . 
171	0	I 've been busy preparing for English exams .	PRP VBP VBN JJ VBG IN NNP NNS . 
16	0	Dear Sir or Madam ,	JJ NNP CC NNP . 
511	0	I saw the pink snow there .	PRP VBD DT JJ NN RB . 
48	0	I think the students will enjoy this sightseeing tour .	PRP VBP DT NNS MD VB DT NN NN . 
835	1	During the journey I would do surfing and photography .	IN DT NN PRP MD VB VBG CC CC . 
783	1	Most common way to earn is baby-sitting .	RBS JJ NN TO VB VBZ NN . 
515	0	It will be a fantastic experience for me .	PRP MD VB DT JJ NN IN PRP . 
598	0	The princess grew up to be beautiful .	DT NN VBD RP TO VB JJ . 
480	0	But it has advantages as well as disadvantages .	CC PRP VBZ NNS RB RB IN NNS . 
283	0	I have just attended classes in them .	PRP VBP RB VBN NNS IN PRP . 
602	0	Is n't it a great opportunity for us ?	VBZ RB PRP DT JJ NN IN PRP . 
225	0	Another one appeared in the show .	DT PRP VBD IN DT NN . 
26	0	So that 's why they have invented the telephone .	RB DT VBZ WRB PRP VBP VBN DT NN . 
676	1	It 's nonsense , was n't it ?	PRP VBZ NN , VBD RB PRP . 
437	0	The concert last month !	DT NN JJ NN . 
364	0	That was not true !	DT VBD RB JJ . 
229	0	I have some worries about my prize and travel .	PRP VBP DT NNS IN PRP$ NN CC NN . 
37	0	Thank you for the letter that confirmed first prize .	VBP PRP IN DT NN WDT VBD JJ NN . 
830	1	I thought it was most exciting job .	PRP VBD PRP VBD RBS JJ NN . 
